耗材,	耗材部
仓库管理,仓管,库管,物流,仓务,库房,仓储管理,仓库,仓储,仓储物流,	仓储部
计划,	计划部
工务,	工务部
董事会,董事长,	董事会
评级,评价,评估,	评估部
工商,	工商部
贸易融资,贸易金融,融资,内贸,贸易,金融,	贸易部
市场,场外市场,场外,场务,	场务部
机动,	机动部
猎头事业,事业,猎头,	猎头部
化工事业,合成,化验室,化工,事业,化学,化验,化学合成,	化工部
动漫,	动漫部
传媒事业,事业,传媒,	传媒部
代表处,	代表处
管家,	管家部
讲解,讲师,	讲解部
妇产科,	妇产科
交通事业,交易平台事业,事业,交易,平台,交易管理,管理,交通,	交通部
技术,弱电工程,电池,电镀,事业,电气技术,电力,电气事业,电气工程,电气设计,工程,发电,弱电,电气,电池事业,电力事业,电源,电源事业,电仪,电控,电工,电装,	电气部
精算,	精算部
客舱,服务,客舱服务,	客舱部
零件,配件,	配件部
流程,流程管理,	流程部
就业,劳务,	就业部
机电维修,机电工程,机电设备,设计,机电事业,维修,事业,机电,机电设计,设备,工程,	机电部
留学,	留学部
送,泵,泵送事业,事业,	泵送事业部
航空,航运,飞行,	航空部
光电,事业,光电事业,	光电事业部
流通,事业,流通事业,	流通部
体系,品质保障,检测,验货,质检,品管,质量测试,品控,认证,质量控制,品质,保证,qa,qc,品质控制,品检,质量保障,技术,技质,质保,质量检测,品质工程,品证,质量管理,质量保证,安质,品保,质量,质监,监督,质量安全,品質,质量监督,质量技术,工程,品质技术,品技,保障,控制,品质管理,测试,品质保证,质管,质量检验,质控,质安,安全,质量工程,	品管部
访问,	访问部
供应,供应链,供应商管理,供应链事业,事业,管理,供应商,供应管理,供销,供应链管理,	供应链管理部
课程,	课程部
矿产,	矿产部
机务,	机务部
零售支持,银行,运营,事业,零售信贷,零售,零售事业,零售管理,市场,零售业务,零售市场,信贷,零售运营,支持,零售银行,	零售部
监察,监察稽核,监测,稽核,	监察部
电器,	电器部
金融服务,小企业金融,个人金融服务,银行,同业,金融事业,金融市场,公司,个贷,金融保险,金融物流,小微金融,工程,金融,业务,个人金融业务,个人理财,理财,个人,消费金融,个人银行,期货,事业,金融服务事业,小企业,金融业务,个金,个人金融,个人业务,综合金融,金融工程,金融机构,小微,个人贷款,贷款,物流,公司金融,金融投资,金融同业,信贷,个人信贷,	金融部
行管,	行管部
联通,事业,联通事业,	联通事业部
护理,	护理部
秘书,秘书处,	秘书部
拼箱,	拼箱部
媒介,	媒介部
教学,幼教,英语教学,师资,私教,教研,家教,幼儿,数学,	教学部
档案管理,行政,综合,资料,档案,杂货,接待,资料室,内勤,内务,助理,录入,文员,行政综合,	行政部
控制,	控制部
电子电器,电子,电子工程,电器,工程,	电子工程部
管理处,管理信息,信息,公司,管理总,管理,管理服务,管理中心,分公司,管理咨询,集团,管理科,管业,服务,总管理,高级管理,总,公司管理,分公司管理,集团管理,	管理部
电信,电讯,电信事业,事业,电信业务,业务,	电信部
记者,美编,编导,采访,剪辑,策划,编辑,组稿,编辑策划,杂志,排版,采编,专刊,	编辑部
空调,事业,空调事业,	空调部
按揭,	按揭部
企划营销,企业发展,银行,企业风险管理,企业信息化,企管,管理,企宣,金融,企业融资,企画,企业合作,企业客户,宣传,企业培训,风险管理,客户,信息化,企业管理,文化,事业,企划宣传,营销,企业策划,发展,企业银行,企业,企业事业,设计,企业文化,企业金融,企业服务,企划,企划设计,企化,	企划部
客务,	客务部
动画,动画制作,	动画部
事业,代理记账,代理,代理事业,	代理部
房产,事业,地产工程,二手房事业,工商,地产营销,房地产开发,工程,房产事业,房地产,房地产事业,工商铺,二手房,房产销售,房贷,地产事业,开发,铺,地产,住宅,	地产部
理赔,寿险,保全,车险理赔,保险,事业,理赔事业,核保,寿险事业,险,保险理赔,团险,核赔,车商,车险,财产,保险事业,核保核赔,财产险,防损,	保险部
男装,服装事业,面料,事业,女装设计,服装开发,针织,服饰,业务,童装,服装设计,设计,服装,女装,开发,服装业务,礼服,成衣,	服装部
健康药物,事业,健康,健康管理,健康事业,管理,药物,	健康管理部
处方药,处方药事业,事业,处方,	处方部
门管,	门管部
放映,	放映部
机构客户,机构事业,机构,事业,机构研发,机构业务,机构工程,工程,业务,机构设计,设计,研发,客户,	机构部
量化投资,	量化投资部
编剧,	编剧部
贷后管理,一,七,证券事业,财务控制,审计二,公司,三,合同,成本,调度,计划物控,计划运营,财务行政,资金,审计五,监察,财务分析,财,审计八,审计六,集团审计,财会,账务,结算,审计,本,2,3,4,财务核算,会计服务,企划,服务,资金管理,财务处,经营,税务事业,会计结算,财务运营,总,计划经营,销售,财税,预算经营,清算,财务总,总财务,运营,行财,財務,财政,行,综合财务,财务结算,决算,资金运营,物控,财务本,财务咨询,核算,审计九,财务企划,内审计,审计业务,税务,九,预算合约,成本核算,销售财务,行政,控制,财务资金,担保业务,记账,会计核算,计划管理,八,六,证券研究,财务审计,集团财务,审计2,审计3,审计4,事务,计划,审计三,预算,综合,公司财务,预,内,成本预算,证券,成本管理,证券事务,审计一,管理,审计七,二,收银,财务资产,预决算,审计监察,五,合约,财物,区域财务资金,成本合约,成控,会计管理,信息,成本控制,代账,监察审计,分公司,财审,财务,财务会计,计划财务,计财,担保,内审,成品,财务信息,内控,工程,会计,业务,集团,收费,审计四,经营财务,总公司财务,贷款事业,四,资金财务,工程审计,计划合同,预结算,财务综合,事业,财务管理,计划调度,研究,财务科,证券投资,区域,行政财务,集团财务管理,资产,计划物流,出纳,总公司,贷款,物流,预算合同,分公司财务,财务计划,	财务部
动力设备,设备,动力,总成,动力总成,	动力部
操作,作业,	操作部
it服务,it开发,it事业,it信息,技术,信息,事业,it技术,it研发,管理,it,it运维,it管理,研发,运维,服务,开发,	it部
工艺技术,工艺开发,技术,工业工程,事业,工程,工艺设计,装备,研发,工业装备事业,工艺研发,工艺质量,质量,工艺设备,设备,工业事业,开发,工业设计,工业,工艺,工艺工程,	工艺部
并购,	并购部
催收,保费,催办,	催收部
风险合规,风控合规,合规,风险,风险管理,风控,风险控制,	风控部
多元,行销,企划,行销企划,多元行销,	行销部
门店管理,门店销售,门市,门店,门店运营,	门店部
快件,送货,快递,送餐,	配送部
分销,事业,分销事业,	分销部
电子信息,信息,电子,	电子信息部
建筑工程,建筑,	建筑部
理财一,一,理财,理财事业,顾问,事业,理财顾问,	理财部
行业销售,行业应用,行业客户,事业,行业事业,行业研究,销售,行业应用事业,行业,客户,应用,	行业部
计划,集团采购,战略,工程采购,采購,采销,工程,集团,供应,采购,开发,采购物流,采购销售,面料采购,行政,采供,面料,计划采购,采购管理,采购计划,战略采购,釆购,采购开发,物流,採購,行政采购,销售,采购供应,	采购部
保障,	保障部
媒体运营,事业,媒体,媒体事业,	媒体部
经理,	经理部
买手,	买手部
环保,安防,保安,秩序,安环,保卫科,安全环保,安全管理,安检,监察,保卫处,安防事业,安监,事业,消防,保卫,安全服务,秩序维护,ehs,安全监察,安管,安全,质量,安全技术,服务,安全事业,安全质量,安全保卫,hse,安保,	安全管理部
机械制造,研发,机械加工,机械研发,机修,机械,机械工程,工程,机械设计,	机械部
海运进口,海运操作,出口,海运,进口,海运出口,	海运部
建材,	建材部
车辆,车身,车管,车务,车辆管理,车间,	车管部
经纪事业,经纪,事业,经纪业务,经管,业务,	经纪部
电子技术,一,技服,应用技术,网优事业,项目,网游,技术研究,管理,二,设计技术,微软,品质,技术事业,网运,dt,全球,微软事业,电脑技术,网站建设,技术培训,全球技术服务,微博事业,技术保障,技术实施,应用,技术运营,网站事业,技术品质,技术,技术设备,网站,支援,技术管理,发展,技术维修,咨询,设计,研发,质量,服务,销售,工艺,维护,中心,网站开发,技术销售,技术支援,技术二,运营,技术维护,技术中心研发,技术发展,技术设计,网页设计,工程,技术质量,支撑,技术一,实施,保障,技术应用,平台,技术项目,网站编辑,技術,技术工程,事业,微博,技术支撑,网优,研究,网站技术,技术工艺,电脑,技术服务,维修,平台技术,技术咨询,	技术部
口腔科,	口腔科
多媒体,多媒体事业,事业,	多媒体部
平台研发,研发,平台,事业,平台事业,平台运营,	平台运营部
发运,发货,	发货部
后勤保障,后期制作,保障,后期,后勤,	后期部
运营,事业,互联网业务,互联,互联网金融事业,金融,互联网事业,业务,移动互联网事业,互联网开发,产品,互联网金融,移动互联网,互联网,互联网产品,开发,互联网运营,	互联网事业部
经济,	经济部
计划,经营计划,预算,经营发展,企划,支援,经营,经营企划,经营支援,发展,经营预算,	经营发展部
翻译,	翻译部
景观设计,绿化,景观,	景观部
交付,	交付部
一,制图,工程咨询,工程研发,公司,三,二,工程业务,工程处,工程物业,工程开发,总承包,工程一,工程造价,设备,公司工程,工程监理,工程实施,咨询,设计,研发,运维,质量,工程事业,服务,总,销售,维护,工程指挥,工程管理,工程项目管理,工程设备,项目管理,工程维修,工程,工程建设,业务,集团,工程项目,工程预算,实施,开发,物业,测绘,工程运维,工程设计,事业,工程质量,测量,工程二,承包,工程三,工程师,工程技术,指挥,集团工程,工程维护,工程服务,工程销售,	工程部
乘务,	乘务部
宽带,宽带事业,事业,	宽带事业部
家装设计,家装,软装,家具,家纺,软装设计,	家装部
船务,轮机,船员,	船务部
民商,	民商部
陆运,	陆运部
电子银行,银行,电子,	电子银行部
酒店前厅,迎宾,前厅服务,预定,大住宿事业,事业,酒店预订,大,楼面,前厅礼宾,预订,礼宾,房务,前厅,前厅销售,酒店,客房服务,客房,服务,住宿,销售,	房务部
经营,经销,经营管理,	经营部
婚庆,	婚庆部
合成,	合成部
配饰,	配饰部
财富管理,财经管理,财富事业,财富管理事业,事业,管理,财富,财经,财管,	财富管理部
美容,	美容部
服务营销,服务中心,服务管理,运营,事业,服务,服务运营,管理,服务事业,营销,	服务部
筹建,	筹建部
旅游业务,商旅事业,会奖,商旅,事业,导游,旅游事业,签证,业务,旅游,	旅游部
包装,封装,	包装部
产业发展,产业,发展,	产业部
陈列,	陈列部
ka销售,事业,大客户,大客户服务,大,客户服务,业务,大客户业务,大客户销售,ka,大客户事业,重点客户,销售,ka事业,重点,客户,	大客户部
办事处,	办事处
加盟,事业,加盟管理,加盟事业,管理,加拿大,	加盟部
培训管理,培训事业,内训,实训,实验,事业,训练,实习,培训发展,发展,培训,	培训部
环保,环安,环保事业,事业,环境,环评,环境事业,	环安部
事业,节能事业,节能,	节能事业部
规划建设,规划设计,建设,规划发展,发展,规划,	规划部
事业,公安,公安事业,	公安部
喷涂,喷漆,喷油,	喷漆部
公众,关系,集团客户事业,事业,回访,集团客户,顾客服务,集团,要客,顾客,公诉,公众客户,服务,顾客关系,贵宾,客户,公务,	客户部
化妆品,彩妆,事业,大众化妆品,化妆,大众,化妆品事业,	美妆部
临床销售,事业,临床研究,临床医学,临床事业,销售,临床,	临床部
电子事业,电网事业,运营,o3o事业,跟单,b2b事业,淘宝,o3o,电商设计,购物,b4b,b2b,电视购物,电子商务运营,电销事业,电商运营,订单,o2o事业,电销,事业,o4o事业,b3b事业,天猫,o4o,o2o,b3b,电商事业,电网,电子商务事业,网购,电子,b4b事业,订单管理,电子商务,电商,电视,	电子商务部
干货,	干货部
事业,轨道交通事业,轨道,交通,	轨道交通事业部
能源,事业,能源事业,	能源部
会员,服务,会籍,会员服务,会议,	会籍部
运营,基金,基金管理,基金运营,	基金部
交易,	交易部
定制,	定制部
家电,事业,家电事业,	家电部
传输,	传输部
营业,项目,海外开发,商务,全球,国际贸易,海外投资,国际事务,联络,海外工程,海外业务,国际事业,客服,美国,国外业务,韩国,日韩,国际市场,结算,海外市场,国际项目,国际物流,财务,国外,海外事业,海外运营,服务,销售,海外拓展,英国,国际联络,国际结算,出境,投资,国际销售,日本事业,国际商务,欧美,工程,国际交流,业务,海外销售,全球服务,澳新,亚洲,采购,国际客服,开发,海外财务,合作,欧亚,国际,国际工程,日,事业,全球采购,欧洲,国际业务,欧美事业,韩,美洲,日本,拓展,海外,市场,国际合作,海外营业,物流,海外客服,海外项目,国际采购,事务,	海外部
共享,	共享部
产销,	产销部
客服,运营,话务,热线,客服运营,	客服部
电子政务事业,事业,电子政务,	电子政务部
教练,健身,	健身部
中小企业,	企业部
基建工程,基建,工程,	基建部
监理项目,项目,监理,	监理部
