湖南人文科技学院	0x20
三门峡职业技术学院	0xf7d
贵州建设职业技术学院	0xf19
南京特殊教育职业技术学院	0x5cd
白求恩医科大学	0xd9b
重庆市广播电视大学	0xa59
厦门海洋职业技术学院	0x7c
北京市朝阳区职工大学	0x6c0
集美大学	0x104d
九江职业大学	0xa8d
山西农业大学信息学院	0xbae
武汉警官职业学院	0x2f4
湖南城建职业技术学院	0x89b
昌吉州商业职工学校	0x2ec
合肥幼儿师范高等专科学校	0x747
天津工艺美术职业学院	0x890
江西司法警官职业学院	0xc1
河北林业学校	0xebd
阿克苏教育学院	0x5dc
浙江大学宁波理工学院	0xb5b
宁夏幼儿师范学校	0x6ff
宁夏财经学校	0xffd
哈尔滨科学技术职业学院	0x6a6
威海教育学院	0x1139
山东信息职业技术学院	0x1c8
永城职业学院	0xb6f
闽江学院	0xd1e
长春医学高等专科学校	0xf0
西安铁路职业技术学院	0xf1c
湖南城市建设学校	0x89a
广西幼儿师范高等专科学校	0x578
无锡高等师范学校	0xcb0
辽宁农业职业技术学院	0x1043
大理师范高等专科学校	0x9fc
肇庆学院	0x210
贵州师范大学求是学院	0x301
中国地质大学（武汉）	0xdc3
西安外国语学院	0x5f7
福州市农业学校	0xcaa
江苏省青年管理干部学院	0x4c6
成都工贸职业技术学院	0x35c
长春师范大学	0x5ab
重庆师范大学	0x763
上虞师范学校	0x309
济宁艺术学校	0xfdf
桂林医学院	0x149
武汉市第二师范学校	0x131
揭阳职业技术学院	0x114
山东公安专科学校	0xe24
宁夏职工科技学院	0x69b
马鞍山职业技术学院	0x10c9
江苏省苏州商业学校	0x33a
广东工业大学华立学院	0x1145
上海市徐汇区业余大学	0xbc
重庆城市管理职业学院	0xea1
北京电力高等专科学校	0x2f7
四川交通职业技术学院	0xee
中国矿业大学（北京）	0x580
苏州农业职业技术学院	0x6d
山东渤海进修学院	0xf7a
辽宁装备制造职业技术学院	0x931
江苏商贸职业学院	0xd1f
湖南省立第三师范学校	0xf3f
青岛飞洋职业技术学院	0xcbc
华南农业大学珠江学院	0xb9d
江西赣江职业技术学院	0x27f
川有色金属公司职工大学	0x6ab
哈尔滨石油学院	0xa0e
河南科技大学	0xd1c
安徽师范大学	0x44f
广东江门中医药职业学院	0xf56
苏州幼儿师范高等专科学校	0x60
周口科技职业学院	0xcbd
安徽农业大学经济技术学院	0xaf2
江西工业工程职业技术学院	0x865
兰州职业技术学院	0xe4c
嘉兴学院南湖学院	0x1064
苏州医药科技学校	0x5de
武威教育学院	0xb6d
成都东软学院	0xe3a
广西金融职业技术学院	0xf0e
哈尔滨市职工大学	0xf86
福建省煤矿技工学校	0x846
青海省联合职工大学	0x156
山东英才职业技术学院	0xa10
唐山师范学院	0x2cb
娄底师范高等专科学校	0xc97
陕西铁路工程职业技术学院	0xaa1
宁波市经委职工中等专业学校	0x862
中国音乐学院	0x9b1
福建电力职业技术学院	0x7d1
吉林师范大学博达学院	0x563
广州大学松田学院	0x35e
温州肯恩大学	0xd61
唐山高级技工学校	0xb34
商丘财经学校	0x1f4
济南铁路机械学校	0x754
山东省交通运输学校	0xbeb
陕西电子信息职业技术学院	0xa1f
辽宁轻工职业学院	0x641
南京工业大学	0x7ea
山西工程职业技术学院	0xf60
天津城市建设管理职业技术学院	0xcbf
西安交通工程学院	0xf68
无锡工艺职业技术学院	0xa1b
郑州广播电视学校	0x74a
河南师范大学新联学院	0xdce
中南工业大学	0xbdb
合肥职工科技大学	0xb0d
中国人民解放军空军石家庄飞行学院	0x1114
宜春师范学校	0xe80
福建金融职业技术学院	0x1138
海南师范大学	0x69
江苏卫生健康职业学院	0xf24
川北幼儿师范高等专科学校	0x2b3
武汉铁路职业技术学院	0x584
盐城职业大学	0xb11
山西电力职业技术学院	0x744
重庆理工大学	0x86d
河北旅游职业学院	0x213
陕西理工大学	0xf7f
黑龙江护理高等专科学校	0x5dd
襄阳职业技术学院	0xce8
大理护理职业学院	0xb72
铜陵有色职工大学	0x5bd
南京邮电大学	0x108b
驻马店广播电视大学	0x49f
江苏农牧科技职业学院	0x779
武威市财贸学校	0x2b6
云南交通职业技术学院	0x50f
沈阳机械工业职工大学	0xab7
呼和浩特民族学院	0x10f5
南京邮电大学通达学院	0x8c4
河南大学	0x3d0
枣庄师范专科学校	0x1fb
东北财经大学津桥商学院	0xc85
衢州职业技术学院	0xdfb
陕西省司法学校	0xf8
山西省纺织工业学校	0x44
湖北生物科技职业学院	0xd13
吉林建筑大学	0x72b
青岛师范专科学校	0xc2c
西安外国语大学	0x274
安徽新闻出版职业技术学院	0x698
兴安职业技术学院	0x104c
福建师范大学	0x362
昌河职工工学院	0xf6f
广西国际商务职业技术学院	0xbc1
重庆电力职工大学	0x8fa
三亚理工职业学院	0xf43
郑州工业安全职业学院	0x10e1
陕西职业技术学院	0xf15
怀化师范专科学校	0xf88
邯郸农业高等专科	0x7e2
湖南高尔夫旅游职业学院	0xe20
浙江广播电视大学(东阳学院)	0x4c3
南京建筑工程学院	0xc74
内蒙古科技职业学院	0x4ee
怀化学院	0xffc
山东省烟台财政学校	0xec8
衢州师范学校	0xd80
南京医科大学	0xc2e
酒泉教育学院	0x10b
宜春职业技术学院	0xd6a
河南警察学院	0xcf1
郑州工业高等专科学校	0x4a
南京大学金陵学院	0x243
黄山卫生学校	0x10ec
重庆正大软件职业技术学院	0x53d
天津音乐学院	0x90c
德州科技职业学院	0xe2d
长春大学旅游学院	0xc24
广州工商学院	0x6e
大连财经学院	0xf70
湖北武汉公安管理干部学院	0x108c
湖北省工业设计学校	0x51
武汉交通职业学院	0xc71
南通职业大学	0x8c5
南京师范大学中北学院	0x527
广东海洋大学	0xd1d
广东财经大学	0xa45
重庆第二师范学院	0x3b8
北京语言大学	0x74
重庆幼儿师范学校	0x402
河南科技学院	0xdbf
天津市红桥区职工大学	0x1d0
北京林业大学	0xb42
宜春农业专科学校	0x442
黑龙江兵器工业职工大学	0x1df
青海省交通厅决定交通职工中专学校	0xbcc
南京市广播电视大学	0xc67
广东水利电力职业技术学院	0x81e
泰州学院	0xe13
东湖学院	0x1144
贵州城市职业学院	0x6a5
福建建筑高等专科学校	0x23d
温州大学瓯江学院	0x3bc
辽河油田广播电视大	0x7
常州工程职业技术学院	0x312
泉州理工职业学院	0x547
杭州市法律学校	0xd7f
江苏省太仓师范学校	0xbcb
青岛冶金矿山职工大学	0xea9
宁夏工商职业技术学院	0x706
苏州市广播电视大学	0x7ac
潮汕职业技术学院	0x382
辽宁省直属机关职工大学	0x638
柳州铁道职业技术学院	0x42d
北京财贸职业学院	0x643
北京教育学院	0x268
兰州理工大学	0x241
徐州交通学校	0xda4
山东经贸职业学院	0x105f
北华航天工业学院	0xbd9
西北林学院	0x1105
天津市南开区职工大学	0x9e4
济南职工科技大学	0xa24
西藏自治区艺术学校	0x9db
武汉民政职业学院	0xc5b
大连海事大学	0x873
贵州财经大学	0x4d9
湖北职业技术学院	0xffb
山东医学高等专科学校	0xe65
湖北交通职业技术学院	0x7d8
衡阳师范学院	0xd01
娄底工业学校	0xeb0
湛江农业专科学校	0xe7c
盐城鲁迅艺术学校	0x7f3
南京机械高等专科学校	0xd42
安徽中医药大学	0x138
广州美术学院	0x634
武汉软件职业学院	0x4d7
大兴安岭师范学校	0x7fa
龙岩学院	0xafa
陕西煤炭职工医科大学	0x72
福州理工学院	0x101b
苏州蚕桑专科学校	0x78
南京体育学院	0x712
南京化工大学	0x79
首都师范大学科德学院	0x45e
安庆市财贸学校	0x392
原山东工业大学	0xbd3
黑龙江工程学院	0x757
湖南科技大学潇湘学院	0xe78
北京艺术传媒职业学院	0xd53
新疆科技职业技术学院	0x903
南通市工人业余大学	0x3e3
陕西邮电职业技术学院	0x3de
安徽省司法学校	0x328
山西财经大学华商学院	0xd00
桂林旅游高等专科学校	0xf67
北京电影学院现代创意媒体学院	0x87a
大连工业大学艺术与信息工程学院	0x996
中国民用航空飞行学院	0x3e9
中国人民武装警察部队警官学院	0xd7b
河南医学高等专科学校	0xf59
辽宁传媒学院	0xa3d
厦门安防科技职业学院	0xc8e
青海建筑职业技术学院	0x727
湖州职业技术学院	0x939
天津冶金职业技术学院	0xad9
内蒙古工业大学	0x49a
河北水利电力学院	0x105c
郑州城市职业学院	0xfce
哈尔滨铁道职业技术学院	0xbe7
浙江工商职业技术学院	0x540
贵州电力职业技术学院	0x855
上海中华职业技术学院	0x460
上海外国语大学贤达经济人文学院	0x8c3
沧州师范学院	0x991
西安理工大学	0x5a0
许昌师范学校	0xdfd
广西农业大学	0xb14
牡丹江师范学院	0xe51
中国矿业大学徐海学院	0xf20
重庆电讯职业学院	0xec1
新疆维吾尔医学专科学校	0xcf2
安徽省轻工业学校	0x1136
孝感师范高等专科学校	0x103c
兰州铁道学院	0x61e
安徽省体育运动技术学校	0x451
新疆交通职业技术学院	0x9cb
湖北工业职业技术学院、十堰职业技术学院	0x57d
北京邮电大学世纪学院	0xa6f
桂林市教育学院	0x5a
上海青年管理干部学院	0x1e0
浙江贸易经济学校	0x42a
天津工业职业技术学院	0x564
保定电力职业技术学院	0xa9
云南公安高等专科学校	0x8c9
合肥教育学院	0xd8
陕西省渭南农业学校	0xe3c
宿迁泽达职业技术学院	0x64a
安徽国际商务职业学院	0xcc2
北京市石景山区业余大学	0x1023
江苏省淮阴财经学校	0x3c7
江苏省劳动经济学校	0x1124
同济大学浙江学院	0xe58
三明职业大学	0x2d6
四川传媒学院	0xace
攀枝花大学（专科层次）	0x1071
兰州现代职业学院	0xb3c
华中科技大学	0xaf4
长春汽车工业高等专科学校	0x255
沈阳农业大学	0x481
宁夏回族自治区广播电视大学	0x3a4
广西师范学院师园学院	0x19a
湖南生物机电职业技术学院	0x381
苏州轻工职工大学	0x870
武汉航海职业技术学院	0x1010
石家庄幼儿师范高等专科学校	0x338
郑州市职工大学	0x253
武汉体育学院体育科技学院	0xa35
哈尔滨师范大学	0x517
对外经济贸易大学	0x239
苏州市职工科技大学	0x1036
周口师范学院	0x1cc
北京新圆明职业学院	0x749
重庆三峡职业学院	0x995
山东特殊教育职业学院	0x542
安徽机电职业技术学院	0x65
安阳职业技术学院	0xe66
中国矿业大学银川学院	0xdb4
湖南纺织高等专科学校	0x919
新钢职大	0x823
宁波职工业余大学	0xa4d
平顶山师范高等专科学校	0x648
乌兰察布医学高等专科学校	0x64
南通大学杏林学院	0x2a7
包头师范学院	0x56f
哈密职业技术学院	0xe9d
菏泽学院	0x852
浙江工业大学	0xc63
蚌埠经济技术职业学院	0x9b7
南京农业大学	0x745
烟台南山学院	0x519
黄石高等专科学校	0xf2
南京交通高等专科学	0x1095
上海师范大学	0x622
莆田华侨体育师范学校	0x25e
重庆三峡医药高等专科学校	0x1d3
天津医学院	0xf3
山西大学	0x14
榆林职业技术学院	0x837
西安电子科技大学	0xdd0
山西师范大学现代文理学院	0x40
安阳学院	0x456
福州墨尔本理工职业学院	0x66
内蒙古水利学校	0x329
浙江工业高级技术学校	0x1074
上海市长宁区业余大学	0x3ec
云南艺术学院	0x1087
柳州职业技术学院	0xde4
山东司法警官职业学院	0xf5e
河南司法警官职业学院	0xdfe
广东松山职业技术学院	0x24e
韶关学院	0x980
许昌教育学院	0x29
山东医科大学	0xcc6
白城粮食学校	0xc17
宁德师范学院	0xe87
沈阳体育学院	0xf2e
陕西艺术职业学院	0xa51
福州职业技术学院	0xbca
湖南机电职业技术学院	0x988
湖北科技职业学院	0x1b3
黄河交通学院	0x6dc
新疆财政学校	0xb8d
天津市建筑工程职工大学	0xe7d
中国青年政治学院	0x5aa
红河学院	0x205
洛阳市卫生学校	0x1163
吉林省经济管理干部学院	0x4e4
南平教师进修学院	0xe62
唐山市职工大学	0x234
浙江广播电视学校	0x184
铜陵职业技术学院	0x2c
重庆科创职业学院	0x695
山西机电职工学院	0x545
天津市房地产局职工大学	0xf5b
湖北省一轻工业学校	0x326
哈尔滨轻型车厂职工大学	0x9b0
内蒙古经贸外语职业学院	0xf5c
广西医科大学	0x1182
江西理工大学应用科学学院	0x1117
天津大学	0x4db
北京商学院	0x94b
淮北教育学院	0x1d7
新疆大学科学技术学院	0xa2e
廊坊燕京职业技术学院	0x106f
山东艺术设计职业学院	0x2d1
山东建筑大学	0x974
新疆工业职业技术学院	0x966
山东省工业学校	0x672
皖南医学院	0x17d
沈阳建筑大学	0x6f5
福建资源工业学校	0x8dc
山东职业学院	0x1c2
安徽文达信息工程学院	0x440
沈阳师范大学	0x5c4
辽宁大学	0xe3b
青岛市广播电视大学	0xdcb
中国人民解放军陆军军医大学	0x480
湖北省实验幼儿师范学校	0x189
成都冶金职工大学	0xe2
西安市机械高级技工学校	0xef9
山西传媒学院	0xb6
钦州学院	0x4ae
延边农学院	0x2ae
天津市职业大学	0x75d
江西大学	0x3e0
九江教育学院	0xde8
湖北艺术职业学院	0xd95
兰州交通大学	0x151
石家庄铁路职业技术学院	0x1041
青海高等职业技术学院	0xb1c
北京理工大学珠海学院	0xcd0
山东体育学院	0x5be
费县师范	0x173
商丘教育学院	0xf36
天水师范学院	0x5c0
湖南科技经贸职业学院	0xe31
南京视觉艺术职业学院	0x10b1
厦门华厦职业学院	0x6b9
浙江丽水商业学校	0x3e5
鹰潭教育学院	0xd1a
广西建设职业技术学院	0xde5
浙江商业职业技术学院	0x979
崇仁师范学校	0x5b7
燕京理工学院	0xfe7
山西建筑职业技术学院	0x5ef
长春健康职业学院	0x1a3
安阳市财会学校	0xea4
贵州商业高等专科学校	0x349
庆阳市技工学校	0xd9f
上海民远职业技术学院	0x501
沧州医学高等专科学校	0x2e8
绵阳经济技术高等专科学校	0xdf3
佳木斯医学院	0xc69
浙江省供销社职工学院	0x16e
四川中医药高等专科学校	0x1068
常州市电子职工大学	0x70b
哈尔滨远东理工学院	0x118
汉口学院	0x76d
上海科技高等专科	0x623
宁波卫生职业技术学院	0x10ab
海南职业技术学院	0x520
泰州师范	0x44c
闽江职业大学	0x1022
山东圣翰财贸职业学院	0x6fd
武汉轻工大学	0x6f4
四川轻化工学院	0xe26
华北理工大学冀唐学院	0xa46
中南大学	0x10c3
江西广播电视大学	0xdda
重庆工程职业技术学院	0x1085
石家庄幼儿师范学校	0x132
荆门职业学院	0x894
中南林业科技大学涉外学院	0x3a8
安阳大学	0x4f
河南推拿职业学院	0xca5
内蒙古工业职业学院	0x2d2
承德民族师范高等专科学校	0xdef
江苏护理职业学院	0x9d0
安徽外国语学院	0xe34
滨州职业学院	0x95a
陕西工业职业技术学院	0x664
许昌职业技术学院	0xf83
湖北中医药大学	0x90e
南京特殊教育师范学院	0x2e9
贵州大学科技学院	0xadb
北京经济管理职业学院	0x490
宁波师范学院	0x3ca
吉林省教育学院	0xfad
赣州师范高等专科学校	0x238
内蒙古农业大学	0x6c6
长春理工大学	0x611
湖南林业学校	0xfa5
青海省建工建材学校	0x294
南昌高等专科学校	0x333
青海警官职业学院	0x49c
兰州资源环境职业技术学院	0x4fa
齐鲁理工学院	0x1a9
毕节师范高等专科	0x8b1
宁波中等专业学校	0xca4
荆州职业技术学院	0xb24
酒泉财经学校	0x90a
安徽电气工程职业技术学院	0xbe5
上海医药职工大学	0x89c
临夏回族自治州职业技术学校	0x633
广州市公安管理干部学院	0x1061
黄河大学	0x10cb
广安职业技术学院	0x1b
江西生物科技职业学院	0xae2
朔州职业技术学院	0xfc0
山西财贸职业技术学院	0xb7e
石家庄法商职业学院	0x413
湖南儿童工程职业学院	0x3db
西安交通大学	0xd48
长沙电力职业技术学院	0x5db
西宁城市职业技术学院	0xd0f
宜宾职业技术学院	0xf5a
福建省公路技工学校	0x45c
衡阳师范高等专科学校	0xb39
河南财经学院	0x4c4
云南特殊教育职业学院	0xa1
宁德职业技术学院	0xa48
福建公安高等专科学校	0x907
北京农学院	0x9d7
湖北幼儿师范高等专科学校	0xd5d
重庆资源与环境保护职业学院	0x265
青海大学	0xf94
武汉钢铁学院	0xf9f
黄冈教育学院	0x626
绵阳师范学院	0x7a
北京市司法学校	0xe47
四川职业技术学院	0x2a0
大连工业学校	0x487
河南城建学院	0xce5
东北师范大学	0xb59
昆山登云科技职业学院	0xcf4
贵州警察学院	0x828
天津第二医学院	0x1086
湖南师范大学树达学院	0x167
哈尔滨建筑大学	0x1d5
哈尔滨信息工程学院	0xf4a
青岛恒星职业技术学院	0xabf
三门峡社会管理职业学院	0x422
江西省司法学校	0x170
海南科技职业学院	0x801
首都师范大学	0x80a
大连民族大学	0x3f6
青岛农业大学	0xc72
昌吉学院	0x13f
上海财经大学	0x469
山东省青岛商业学校	0xe5a
西安公路交通大学	0x18b
中国人民解放军火箭军指挥学院	0xab8
内蒙古化工职业学院	0xe71
兰州航空工业职工大学	0x1093
湖南大众传媒职业技术学院	0xe10
浙江国际海运职业技术学院	0x79b
河北科技大学	0x56
天津外国语大学滨海外事学院	0xb1d
金华铁路司机学校	0xfe8
泰安广播电视大学	0xc02
华东煤炭医学专科学校	0xc88
潍农业学校	0x100e
长春邮电学院	0x22f
湖南电气职业技术学院	0xeaa
上海电子信息职业技术学院	0x1fa
天津生物工程职业技术学院	0xfff
陕西省宝鸡教育学院	0x521
安徽财政学校	0x7be
钦州师范高等专科学校	0x10ea
安徽财贸职业学院	0x6ae
湖北工业大学工程技术学院	0x771
湖南工程学院	0x9c1
北京市崇文区职工大学	0x46b
成都中医药大学	0xb7b
山东纺织工学院	0xe81
晋中师范高等专科学校	0x287
湖北省贸易科技学校	0xd3d
安庆师范大学	0xc73
中国人民解放军空军航空大学	0xa80
咸宁职业技术学院	0x1028
南宁师范高等专科	0x6b2
河南交通职业技术学院	0x408
安徽水利电力学校	0x926
杭州电子科技大学	0x1073
齐鲁师范学院	0xc7b
广东警官学院	0x50e
河南科技学院新科学院	0xaba
四川华新现代职业学院	0x10b5
河北建材职业技术学院	0xc7e
河北政法职业学院	0x592
济宁教育学院	0x295
琼州大学（专科）	0xc44
沈阳航空航天大学	0x842
苏州托普信息职业技术学院	0x32c
安阳师范学院人文管理学院	0x6c8
三江学院	0xfd5
娄底职业技术学院	0x5e5
浙江经济高等专科学校	0xd9c
山东师范大学	0xccc
云南经济管理职业学院	0xb31
浙江省电子工业学校	0x3c
福建农林大学东方学院	0x847
广东第二师范学院	0xcb7
保险职业学院	0x7da
安徽农业大学	0x953
延安大学西安创新学院	0x76e
立信会计高等专科学校	0x30c
大连职业技术学院	0x425
嘉应教育学院	0x2c1
亳州幼儿师范学校	0x178
辽宁师范大学海华学院	0xea
哈尔滨金融学院	0x1081
兰州电子工业学校	0xeff
湖南中医药大学	0x613
信阳商业学校	0x101d
山西能源学院	0x3b7
四川电影电视学院	0x10cd
宜昌市工业学校	0x1170
延安机电工程学校	0xb84
广东外语外贸大学	0x895
广东酒店管理职业技术学院	0x257
扬州医学院	0xe52
陕西中医药大学	0xea2
连云港教育学院	0x10c
上海体育职业学院	0x691
哈尔滨市广播电视大学	0x651
江苏商业专科学校	0x7d5
中国记协职工新闻学院	0x10fa
上海立达职业技术学院	0xd7
安徽卫生健康职业学院	0x96b
湖南财经高等专科学校	0xc83
四川汽车职业技术学院	0x2d3
广西大学	0xa42
衢州教师进修学校	0x1e3
山西水利职业技术学院	0x111e
富锦师范学校	0x4d4
河南省建筑工程学校	0x12c
浙江食品工贸学校	0x1175
广州师范学院	0x48e
无锡城市职业技术学院	0x1f0
天津滨海汽车工程职业学院	0x9c3
三峡旅游职业技术学院	0x6d9
德州经济学校	0x7b4
河北科技学院	0xe1d
郑州旅游职业学院	0x335
东营师范学校	0x496
天狮职业技术学院	0xf42
华北矿业高等专科学校	0x5bb
河北省体育运动学校	0x5bc
铜陵有色金属公司技工学校	0x33f
河北理工大学	0x593
河南农业职业学院	0xc45
四川核工业职工大学	0x1150
武汉工商学院	0x245
沈阳化工大学	0xe98
河南财政税务高等专科学校	0xb89
内蒙古建筑职业技术学院	0xbed
贵州工程应用技术学院	0xc05
运城幼儿师范高等专科学校	0x650
广州市联合职工大学电信学院	0x1092
黔东南民族职业技术学院	0xa0
常德师范学校	0xa89
广州航海高等专科学校	0x342
黄淮学院	0xee2
浙江艺术职业学院	0x24a
武汉科技大学	0x115c
娄底经济贸易学校	0x6b1
黑龙江艺术职业学院	0x97c
郑州成功财经学院	0xa49
山东凯文科技职业学院	0x10b3
许昌陶瓷职业学院	0x61c
上海电机学院	0x606
浙江职工体育运动技术学院	0x78f
江西农业工程职业学院	0x811
阜阳职业技术学院	0x1ab
内蒙古体育职业学院	0xc3a
新疆轻工职业技术学院	0x22c
延边科技大学	0xcea
吉安职业技术学院	0x280
成都理工大学工程技术学院	0x814
湖北城市建设职业技术学院	0xf26
四川艺术职业学院	0x956
四川长江职业学院	0xed0
江苏省淮海工业贸易学校	0x31
广州现代信息工程职业技术学院	0x32f
重庆财经职业学院	0x47f
北京农业职业学院	0xd11
陕西师范大学	0x5d4
武汉城市职业学院	0xc91
安阳农业学校	0x69a
新疆体育职业技术学院	0xb9e
云南文化艺术职业学院	0x536
陕西省警官学校	0xc32
临沂工业学校	0x1151
长春信息技术职业学院	0xa55
廊坊师范学校	0xaf8
南京信息职业技术学院	0x8eb
三亚中瑞酒店管理职业学院	0x731
昆明冶金高等专科学校	0xf72
南宁市教育学院	0xc47
中国社会科学院大学	0x898
甘肃煤炭工业学校	0x4fb
满洲里俄语职业学院	0x9a4
安徽医科大学	0x65c
泰山医学院	0xa06
四川信息职业技术学院	0x53c
合肥市职工大学	0x6
河南牧业经济学院	0xdf8
常德师范高等专科学校	0xbce
宁夏广播电视大学	0x9ee
烟台工业学校	0x447
三亚学院	0xc53
重庆市第一师范学校	0x29f
宁夏医科大学	0xae7
云南国防工业职业技术学院	0x868
吉林铁道职业技术学院	0xbda
沈阳工业大学工程学院	0xfd
清华大学	0xa03
凉山教育学院	0x574
南阳职业学院	0x1008
武汉音乐学院	0x567
沈阳药科大学	0x1d8
合肥师范学校	0x6ac
四川司法警官职业学院	0x10ee
常州机电职业技术学院	0xb17
浙江东方职业技术学院	0x987
湖北美术学院	0x9f6
驻马店电子信息工程学校	0x4bd
河北能源职业技术学院	0x36e
辽宁教育学院	0x390
东华理工大学行知分院	0x88
江苏省中医学校	0x833
常州市纺织工业职工大学	0x185
陕西交通职业技术学院	0xedd
山西药科职业学院	0x23c
齐齐哈尔市教育学院	0x717
广东科贸职业学院	0x1e4
六盘水师范学院	0x943
贵阳学院	0x5c7
辽宁兵器工业职工大学	0xb65
安徽文达信息技术职业学院	0x6d7
舟山航海学校（舟山水产学校）	0x22
泰兴师范	0x478
哈尔滨工程高等专科学校	0xd32
安徽商业职工大学	0x5af
上海市静安区业余大学	0x26
富春江水电职工大学(含浙江省电力党校)	0x6b
辽宁文化艺术职工大学	0xa20
云南工程职业学院	0x10bd
随州职业技术学院	0x61b
曲靖师范学校	0xea5
陕西工商职业学院	0xa85
中国人民解放军海军指挥学院	0x9cc
湖北水利水电职业技术学院	0xae1
兰州气象学校	0x93e
井冈山医学高等专科学校	0x8e5
江西行政管理干部学院	0x876
蚌埠医学院	0x5fa
阜新矿务局职工大学	0xf6c
嘉兴学院	0x30d
兰州城市学院	0x990
郑州教育学院	0x7a2
陕西经济管理职业技术学院	0x249
四川音乐学院	0x108f
江西洪州职业学院	0xd43
中原职业技术学院	0x888
庆阳市财政学校	0x3f2
赣南师范大学	0x7fb
河北大学工商学院	0x194
正德职业技术学院	0xdbd
山东财经大学东方学院	0x6f6
邢台师范高等专科学校	0x3a3
南京师范大学	0x10d9
甘肃教育学院	0x31f
辽宁特殊教育师范高等专科学校	0x8c0
西安培华学院	0x1fc
长春理工大学光电信息学院	0x10a4
山东省饮食服务技工学校	0x421
铜川职业技术学院	0xede
海口经济职业技术学院	0x9e2
通州师范学校	0xb5f
广东海洋大学寸金学院	0x1f6
江南学院旅游经贸分院	0x71c
甘肃卫生职业学院	0x568
湖南艺术职业学院	0x82f
仙桃职业学院	0xaca
盐城师范学院	0x10fe
商洛职业技术学院	0xb2
长春广播电视大学	0x4a7
内江师范学院	0x37a
昌吉电机技术学校	0x562
长春工业大学	0xe5e
连云港职业技术学院	0x753
保定职业技术学院	0x114c
阳光学院	0x31a
南京航运学校	0xdaa
商丘市农业学校	0x128
湖北师范大学	0x597
陕西省中医学校	0x1033
浙江水利水电学院	0x420
赣南客家艺术学校	0x7a1
北京邮电大学	0x4de
北京护士学校	0xd2
洛阳大学	0xa07
陕西煤炭职工大学	0x2bd
石家庄经济学院	0x849
哈尔滨金融高等专科学校	0xda9
武汉生物工程学院	0xc
德宏师范高等专科学校	0x410
中国人民解放军海军军医大学	0x4cf
上饶职业技术学院	0xb68
河北机电职业技术学院	0x20e
长沙环境保护职业技术学院	0xbc6
滨州医学院	0x359
石家庄师范专科学校	0x33d
宜春市技术工人学校	0x264
