888000195 ,天津铁道职业技术学院,	0x14e4
888002174 ,山东省青岛商业学校,	0x1a37
888002846 ,湖南生物机电职业技术学院,	0x1a32
888002072 ,山东女子学院,	0x1a31
888001887 ,上饶幼儿师范高等专科学校,	0x1a30
888001870 ,华东交通大学理工学院,	0x1a1d
888002859 ,湖南环境生物职业技术学院,	0x1a1c
888002231 ,山东省机电学校,	0x1a1b
888001253 ,江苏安全技术职业学院,	0x1a1a
888002308 ,洛阳理工学院,	0x1a1f
888001958 ,宁都师范学校,	0x1a1e
888000333 ,石家庄工程职业学院,	0x166c
888002502 ,华中科技大学,	0xffd
888002139 ,山东省轻工业经济管理学校,	0x166d
888002604 ,湖北工程学院新技术学院,	0xffe
888003230 ,三亚学院,	0x166a
888004081 ,华北电业联合职工大学,	0xfff
888003715 ,西安大学,	0x166b
888001541 ,安徽省轻工业学校,	0xffa
888001871 ,东华理工大学长江学院,	0xffb
888002348 ,郑州师范学校,	0x166e
888002094 ,青岛理工大学琴岛学院,	0xffc
888002706 ,湖北铁道运输职业学院,	0x166f
888003767 ,陕西工业职业技术学院,	0x1674
888004365 ,中国人民解放军海军士官学校,	0x1675
888000464 ,太原城市职业技术学院,	0x1672
888001489 ,安徽财经大学,	0x1673
888002390 ,许昌教育学院,	0x1678
888003186 ,广西生态工程职业技术学院,	0x1679
888000250 ,邢台学院,	0x1676
888001623 ,合肥林业学校,	0x1677
888003616 ,滇西应用技术大学,	0x1670
888003954 ,青海建筑职业技术学院,	0x1671
888004329 ,西安市广播电视大学,	0x167d
888002360 ,信阳师范学院华锐学院,	0x167e
888004000 ,宁夏幼儿师范学校,	0x167b
888004117 ,辽宁兵器工业职工大学,	0x167c
888003514 ,贵州大学明德学院,	0x167f
888003474 ,四川文轩职业学院,	0x167a
888003610 ,云南师范大学文理学院,	0x1685
888003848 ,陕西机电职业技术学院,	0x1686
888001971 ,山东矿业学院,	0x1683
888003116 ,岭南师范学院基础教育学院,	0x1684
888001463 ,安徽商业高等专科学校,	0x1689
888000100 ,北京市成人电子信息大学,	0x1687
888000147 ,天津第二医学院,	0x1688
888000558 ,阿拉善职业技术学院,	0x1681
888001554 ,安徽省商业学校,	0x1682
888003768 ,陕西机械工业职工大学,	0x1680
888001941 ,江西农业工程职业学院,	0xfdb
888004287 ,南宁地区教育学院,	0x168e
888000504 ,内蒙古民族师范学院,	0x168f
888002438 ,河南信息统计职业学院,	0xfdc
888002544 ,湖北省工艺美术学校,	0xfdd
888002616 ,湖北省纺织服装工业学校,	0x168c
888003127 ,桂林医学院,	0x168d
888003494 ,安顺学院,	0xfde
888001225 ,苏州百年职业学院,	0xfda
888002124 ,威海市技术学院,	0x168a
888004036 ,昌吉州财贸学校,	0xfe7
888001355 ,温州大学瓯江学院,	0xfe8
888002563 ,三峡大学,	0x168b
888001631 ,安徽绿海商务职业学院,	0xfe9
888001642 ,黄山职业技术学院,	0x1696
888001835 ,井冈山医学高等专科学校,	0xfe3
888001995 ,青岛农业大学,	0x1697
888002218 ,山东药品食品职业学院,	0xfe4
888000434 ,山西传媒学院,	0x1694
888003340 ,电子科技大学,	0xfe5
888000725 ,东北师范大学,	0x1695
888003489 ,遵义师范高等专科学校,	0xfe6
888000956 ,上海兴伟学院,	0xfe0
888001890 ,抚州幼儿师范高等专科学校,	0xfe1
888004025 ,石河子大学科技学院,	0x1698
888002190 ,山东大学电子维修培训学校,	0xfe2
888004354 ,中国人民解放军陆军防化学院,	0x1699
888002516 ,中国地质大学（武汉）,	0x1692
888003707 ,西安外国语学院,	0xfce
888000966 ,上海行健职业学院,	0xfcf
888004050 ,新疆职业大学,	0x1693
888000758 ,吉林建筑大学城建学院,	0x1690
888001411 ,嘉兴丝绸工业学校,	0x1691
888000581 ,大连海洋大学,	0x169f
888003291 ,重庆第二师范学院,	0xfec
888003323 ,重庆化工职业学院,	0xfed
888002549 ,湖北美术学院,	0x169d
888003688 ,陕西科技大学,	0xfee
888000015 ,北京科技大学,	0x169e
888000057 ,中国人民公安大学,	0xfef
888001742 ,福建信息职业技术学院,	0xfea
888002818 ,长沙理工大学城南学院,	0xfeb
888001128 ,苏州市职业大学,	0xff8
888001764 ,厦门华天涉外职业技术学院,	0x169b
888000070 ,华北电力大学,	0xff9
888001990 ,山东理工大学,	0x169c
888000346 ,石家庄信息工程职业学院,	0x169a
888000622 ,大连科技学院,	0xff4
888001675 ,闽江学院,	0xff5
888002472 ,河南机电职业学院,	0xff6
888000882 ,黑龙江公安警官职业学院,	0xff7
888002942 ,星海音乐学院,	0xff0
888003355 ,四川农业大学,	0xff1
888003712 ,西安音乐学院,	0xff2
888000035 ,北京中医药大学,	0xff3
888000431 ,山西工商职业学院,	0xfdf
888001020 ,盐城职业大学,	0x15c1
888002312 ,新乡师范高等专科学校,	0x15c2
888000847 ,黑龙江工程学院昆仑旅游学院,	0x1a89
888003790 ,陕西航空职业技术学院,	0x15c0
888004288 ,海南广播电视大学,	0x1a88
888000327 ,河北能源职业技术学院,	0x15c5
888001403 ,浙江育英职业技术学院,	0x15c6
888003457 ,四川管理职业学院,	0x15c3
888004116 ,内蒙古自治区广播电视大学,	0x15c4
888000349 ,河北机电职业技术学院,	0x1a83
888001989 ,山东轻工业学校,	0x1a82
888000452 ,山西戏剧职业学院,	0x1a81
888001602 ,合肥电力学校,	0x15ae
888002285 ,许昌学院,	0x15af
888002567 ,荆楚理工学院,	0x1a80
888000416 ,太原师范学校,	0x1a87
888000033 ,北京协和医学院,	0x1a86
888003557 ,贵州应用技术职业学院,	0x1a85
888002147 ,东营师范学校,	0x1a84
888003873 ,兰州工业学院,	0x1a6f
888000142 ,天津理工大学,	0x15ac
888000733 ,白城师范学院,	0x15ad
888003579 ,曲靖师范高等专科学校,	0x15aa
888004378 ,中国人民解放军火箭军士官学校,	0x15ab
888002938 ,嘉应大学,	0x15b8
888003255 ,重庆师范大学,	0x1a6a
888003659 ,大理护理职业学院,	0x15b9
888003419 ,四川电力职业技术学院,	0x15b6
888000812 ,东北林业大学,	0x15b7
888002023 ,临沂工业学校,	0x1a6e
888000839 ,齐齐哈尔职业学院,	0x1a6d
888000237 ,唐山师范学院,	0x1a6c
888004082 ,首都联合职工大学,	0x1a6b
888002868 ,长沙环境保护职业技术学院,	0x15d2
888004088 ,天津市南开区职工大学,	0x15d3
888000963 ,上海东海职业技术学院,	0x15d0
888001257 ,杭州电子科技大学,	0x1a99
888001758 ,福建警官职业学院,	0x15d1
888001902 ,江西省司法警官学校,	0x15d6
888003614 ,滇西科技师范学院,	0x15d7
888004236 ,开封空分设备厂职工大学,	0x15d4
888000554 ,呼伦贝尔职业技术学院,	0x15d5
888002790 ,湖南省人民警察学校,	0x1a94
888002262 ,洛阳医学高等专科学校,	0x1a93
888002956 ,广州市联合职工大学电信学院,	0x15bf
888003564 ,贵州航空职业技术学院,	0x1a92
888003511 ,贵阳中医学院时珍学院,	0x1a91
888000663 ,沈阳职业技术学院,	0x1a98
888000414 ,太原学院,	0x1a97
888002895 ,湖南现代物流职业技术学院,	0x1a96
888003918 ,金昌师范学校,	0x1a95
888003882 ,定西师范高等专科学校,	0x15ba
888002830 ,湖南信息职业技术学院,	0x15bd
888003492 ,兴义民族师范学院,	0x1a90
888002870 ,湖南机电职业技术学院,	0x15be
888004167 ,黑龙江省广播电视大学,	0x15bb
888000745 ,长春工程学院,	0x15bc
888000152 ,天津职业技术师范大学,	0x15c9
888000637 ,大连东软信息学院,	0x1a7b
888000510 ,内蒙古财经大学,	0x1a7a
888002307 ,中州大学,	0x15c7
888003729 ,陕西商业专科学校,	0x15c8
888004205 ,合肥市职工大学,	0x1a7f
888002265 ,河南农业大学,	0x1a7e
888001482 ,徽州师范专科学校,	0x1a7d
888001246 ,如皋高等师范学校,	0x1a7c
888002609 ,武汉传媒学院,	0x15e3
888003771 ,陕西纺织技术学院,	0x15e4
888003905 ,甘肃省交通学校,	0x15e1
888002185 ,济南教育学院,	0x15e2
888002540 ,襄阳师范高等专科学校,	0x15e7
888003769 ,咸阳机器制造学校,	0x15e8
888001018 ,盐城工学院,	0x15e5
888001683 ,泉州教育学院,	0x15e6
888003317 ,重庆科创职业学院,	0x15e0
888000492 ,朔州师范高等专科学校,	0x15ca
888000829 ,哈尔滨金融学院,	0x15cb
888000685 ,辽宁地质工程职业学院,	0x15ce
888000734 ,白城林业学校,	0x15cf
888003081 ,广东工程职业技术学院,	0x15cc
888003073 ,广东工商职业学院,	0x15cd
888001949 ,江西省冶金技师学院,	0x1a8c
888001874 ,景德镇陶瓷大学科技艺术学院,	0x1a8b
888001062 ,徐州工程学院,	0x1a8a
888003636 ,云南城市建设职业学院,	0x15d8
888003824 ,延安农业学校,	0x15d9
888001777 ,厦门城市职业学院,	0x1a8f
888000287 ,石家庄外语翻译职业学院,	0x1a8e
888002884 ,湖南民族职业学院,	0x1a8d
888000764 ,东北师范大学人文学院,	0x15f4
888000978 ,上海工艺美术职业学院,	0x15f5
888004339 ,新疆维吾尔自治区广播电视大学,	0x15f2
888000442 ,晋城职业技术学院,	0x15f3
888003684 ,西安工业大学,	0x15f8
888004055 ,新疆生产建设兵团兴新职业技术学院,	0x15f9
888003935 ,兰州现代职业学院,	0x15f6
888000488 ,阳泉师范高等专科学校,	0x15f7
888001622 ,安徽林业职业技术学院,	0x15f0
888001770 ,福建对外经济贸易职业技术学院,	0x15f1
888002925 ,广州中医药大学,	0x15db
888003817 ,西安市经济贸易学校,	0x15dc
888000139 ,天津纺织工学院,	0x15da
888003114 ,湛江幼儿师范专科学校,	0x15df
888004347 ,中国人民解放军陆军工程大学,	0x15dd
888000526 ,内蒙古丰州职业学院,	0x15de
888003089 ,广州松田职业学院,	0x1a9d
888002697 ,宜昌教育学院,	0x1a9c
888000515 ,师范高等专科学校,	0x15e9
888001878 ,赣南师范大学科技学院,	0x1a9b
888001759 ,闽北职业技术学院,	0x1a9a
888001957 ,赣南客家艺术学校,	0x1a9f
888000252 ,邢台师范高等专科学校,	0x1a9e
888004141 ,吉林化学工业公司职工大学,	0x1a47
888003992 ,宁夏财经学校,	0x1a46
888002856 ,邵阳职业技术学院,	0x1a45
888002614 ,武汉职业技术学院,	0x1a44
888002373 ,三门峡工学院,	0x1a49
888004214 ,南昌钢铁有限责任公司职工大学,	0x1a48
888001310 ,浙江科技学院,	0x1a43
888004161 ,黑龙江省经济管理干部学院,	0x1a42
888003025 ,广东新安职业技术学院,	0x1a41
888002658 ,随州职业技术学院,	0x1a40
888001460 ,合肥工业大学,	0x1a2e
888000334 ,石家庄城市经济职业学院,	0x1a2d
888002639 ,武汉工程职业技术学院,	0x1a2c
888002282 ,安阳师范高等专科学校,	0x1a2b
888001873 ,江西理工大学应用科学学院,	0x1a2f
888002178 ,山东经贸职业学院,	0x1a2a
888002196 ,德州财贸经济学校,	0x1a58
888004005 ,新疆大学,	0x1a57
888002558 ,湖北科技学院,	0x1a56
888002277 ,信阳师范学院,	0x1a55
888000132 ,北京市中医学校,	0x1a59
888001914 ,江西信息应用职业技术学院,	0x1a50
888004189 ,扬州教育学院,	0x1a54
888003234 ,海南软件职业技术学院,	0x1a53
888003198 ,广西经贸职业技术学院,	0x1a52
888002589 ,湖北工业大学工程技术学院,	0x1a51
888002613 ,湖北省工业学校,	0x1a3f
888001767 ,泉州商业学校,	0x1a3e
888000830 ,哈尔滨金融高等专科学校,	0x1a3d
888003023 ,广东松山职业技术学院,	0x1a3c
888002951 ,华南建设学院（西院）,	0x1a3b
888001346 ,杭州电子科技大学信息工程学院,	0x1a3a
888001714 ,福建农林大学东方学院,	0x1a69
888001402 ,浙江旅游职业学院,	0x1a68
888002056 ,枣庄师范专科学校,	0x15a0
888004309 ,成都广播电视大学,	0x1a67
888004238 ,河南省广播电视大学,	0x1a66
888002379 ,郑州铁路师范学校,	0x15a3
888003544 ,贵州工商职业学院,	0x15a4
888000024 ,北京建筑大学,	0x15a1
888001262 ,浙江水产学院,	0x15a2
888000527 ,包头职业技术学院,	0x1a61
888004323 ,西安市职工大学,	0x1a60
888004074 ,中央广播电视大学,	0x1a65
888002735 ,湖南师范大学,	0x1a64
888001568 ,安徽省司法学校,	0x1a63
888000640 ,辽宁传媒学院,	0x1a62
888000994 ,苏州医学院,	0x1a4f
888000803 ,佳木斯大学,	0x1a4e
888000278 ,河北影视艺术学院,	0x1a4d
888003578 ,曲靖师范学院,	0x1a4c
888002529 ,湖北大学,	0x1a4b
888002437 ,郑州职业技术学院,	0x1a4a
888001888 ,江西省上饶师范学校（上饶师范学院小学教育师范分院）,	0x15b0
888001917 ,江西应用技术职业学院,	0x15b1
888003927 ,庆阳市商业学校,	0x1a79
888002398 ,商丘财经学校,	0x1a78
888004129 ,阜新煤炭职工医学专科学校,	0x1a77
888000174 ,天津财经大学珠江学院,	0x15b4
888001833 ,井冈山大学,	0x15b5
888002107 ,山东省教育学院,	0x15b2
888003473 ,四川电子机械职业技术学院,	0x15b3
888003102 ,惠州卫生职业技术学院,	0x1a72
888002464 ,开封市广播电视大学,	0x1a71
888001632 ,合肥共达职业技术学院,	0x1a70
888004010 ,新疆医科大学,	0x1a76
888001657 ,华侨大学,	0x1a75
888000718 ,东北电力大学,	0x1a74
888000514 ,乌兰察布盟蒙古族师范学校,	0x1a73
888003917 ,川有色金属公司职工大学,	0x1a5f
888003746 ,西安思源职业学院,	0x1a5e
888002330 ,张仲景国医大学,	0x15a7
888002888 ,湖南工艺美术职业学院,	0x15a8
888000810 ,东北农业大学,	0x15a5
888000964 ,上海工商职业技术学院,	0x15a6
888000463 ,山西金融职业学院,	0x1a5d
888001790 ,漳州教育学院,	0x1a5c
888001475 ,芜湖师范专科学校,	0x1a5b
888003066 ,珠海教育学院,	0x15a9
888001188 ,江苏省常州化工学校,	0x1a5a
888002503 ,同济医科大学,	0xa03
888002591 ,武汉纺织大学外经贸学院,	0xa04
888003061 ,广州工程技术职业学院,	0xa05
888001535 ,阜阳师范学院信息工程学院,	0xa06
888004384 ,中国人民武装警察部队特种警察学院,	0xa00
888000747 ,长春工业高等专科学校,	0xa01
888002036 ,济宁师范学校,	0xa02
888000134 ,南开大学,	0xa14
888000178 ,天津青年职业学院,	0xa15
888000381 ,河北工艺美术职业学院,	0xa16
888001996 ,潍坊医学院,	0xa17
888003200 ,广西演艺职业学院,	0xa10
888003727 ,西安培华学院,	0xa11
888003625 ,云南体育运动职业技术学院,	0xa12
888000061 ,中央音乐学院,	0xa13
888001754 ,福州英华职业学院,	0xa07
888003383 ,西南民族大学,	0xa08
888003586 ,红河学院,	0xa09
888002071 ,山东工商学院,	0x1704
888004200 ,浙江经济管理职工大学,	0x1705
888000641 ,营口理工学院,	0x1702
888001321 ,浙江人民警察学校,	0x1703
888001812 ,华东交通大学,	0x1708
888001994 ,山东水利专科学校,	0x1709
888000659 ,沈阳航空职业技术学院,	0x1706
888001612 ,安徽国防科技职业学院,	0x1707
888003033 ,广东行政职业学院,	0x1700
888004169 ,黑龙江省社会科学院职工大学,	0x1701
888002331 ,南阳一师,	0x15ec
888002371 ,漯河职业技术学院,	0x15ed
888002049 ,山东艺术学院,	0x15ea
888002261 ,洛阳工学院,	0x15eb
888002720 ,湖南计算机高等专科学校,	0x15ee
888002799 ,湖南第一师范学院,	0x15ef
888003076 ,广东理工职业学院,	0x15fd
888003154 ,桂林旅游学院,	0x15fe
888001837 ,江西财经大学,	0x15fb
888003042 ,阳江职业技术学院,	0x15fc
888003397 ,电子科技大学成都学院,	0x15ff
888000600 ,沈阳音乐学院,	0x15fa
888002782 ,湖南城市学院,	0x174a
888000393 ,长治医学院,	0x174d
888004186 ,南京市职工大学,	0xa87
888000405 ,运城学院,	0xa88
888000767 ,长春师范高等专科学校,	0x174e
888001830 ,宜春农业专科学校,	0xa89
888004049 ,新疆石河子职业技术学院,	0x174b
888004176 ,上海市静安区业余大学,	0x174c
888001909 ,江西环境工程职业学院,	0xa83
888002151 ,聊城旅游学校,	0x1759
888002717 ,武陵高等专科学校,	0xa84
888001779 ,泉州工艺美术职业学院,	0xa85
888002478 ,南阳职业学院,	0x1757
888002910 ,湖南有色金属职业技术学院,	0x1758
888003190 ,广西农业职业技术学院,	0xa86
888002136 ,烟台职业学院,	0xa80
888000900 ,齐齐哈尔理工职业学院,	0xa81
888001013 ,南京林业大学,	0xa82
888000644 ,朝阳职工大学,	0x1751
888002287 ,南阳师范学院,	0x1752
888003678 ,西藏自治区农业广播电视学校,	0x1750
888000648 ,铁岭师范高等专科学校,	0x1755
888003231 ,海南大学三亚学院,	0xa6e
888001395 ,浙江经贸职业技术学院,	0x1756
888004119 ,大连工人大学,	0xa6f
888003142 ,梧州学院,	0x1753
888003752 ,西安科技商贸专修学院,	0x1754
888003955 ,青海省建工建材学校,	0xa6a
888000353 ,石家庄邮电职业技术学院,	0xa6b
888000874 ,林业学校,	0x173e
888002132 ,潍坊职业学院,	0xa6c
888003123 ,桂林理工大学,	0xa6d
888004341 ,新疆生产建设兵团教育学院,	0x173f
888002889 ,湖南九嶷职业技术学院,	0x175a
888003240 ,海南科技职业学院,	0x175b
888000821 ,哈尔滨大学,	0xa98
888004004 ,宁夏体育职业学院,	0x175e
888000268 ,北华航天工业学院,	0x175f
888001923 ,江西外语外贸职业学院,	0xa99
888003600 ,昆明师范高等专科学校,	0x175c
888003977 ,吴忠师范学校,	0x175d
888001230 ,南京机电职业技术学院,	0xa94
888001594 ,宣城职业技术学院,	0xa95
888003398 ,成都理工大学工程技术学院,	0x1768
888004231 ,长城铝业公司职工工学院,	0xa96
888000371 ,张北师范,	0x1769
888000766 ,空军医学高等专科学校,	0xa97
888000200 ,天津海运职业学院,	0xa90
888000797 ,哈尔滨工业大学,	0xa91
888001023 ,徐州医科大学,	0xa92
888001031 ,南京财经大学,	0xa93
888004290 ,重庆冶金成人学院,	0x1762
888000432 ,太原工业学院,	0x1763
888002787 ,湖南财政经济学院,	0x1760
888003582 ,普洱学院,	0x1761
888001857 ,九江教育学院,	0xa7f
888003132 ,河池学院,	0x1766
888001307 ,浙江万里学院,	0x1767
888001050 ,三江学院,	0x1764
888002896 ,湖南高速铁路职业技术学院,	0x1765
888003926 ,中华会计函授学校,	0xa7b
888003956 ,青海省城市建设学校,	0xa7c
888000501 ,内蒙古医科大学,	0xa7d
888001185 ,金肯职业技术学院,	0x174f
888000939 ,上海立信会计金融学院,	0xa7e
888002727 ,湘潭师范学院,	0xa7a
888001312 ,浙江省轻工业学校,	0x176b
888003498 ,毕节教育学院,	0xa69
888002381 ,焦作大学,	0x176c
888000791 ,延边职业技术学院,	0x176a
888000682 ,辽河石油学校,	0xa65
888001058 ,南京晓庄学院,	0x176f
888001315 ,宁波交通职业技术学院,	0xa66
888001738 ,福州市工人业余大学,	0xa67
888003933 ,甘肃省建筑材料工业学校,	0x176d
888001820 ,江西中医药大学,	0xa68
888004313 ,云南开放大学,	0x176e
888004120 ,空军第四职工大学,	0xa61
888004256 ,涟源钢铁总厂职工大学,	0xa62
888000013 ,北京航空学院,	0x1779
